Contract Address,Collection Name,avg_loss_making_trades,avg_profitable_trades,blockchain,chain_id,collection,collection_score,diamond_hands,fear_and_greed_index,holder_metrics_score,liquidity_score,loss_making_trades,loss_making_trades_percentage,loss_making_volume,market_dominance_score,metadata_score,profitable_trades,profitable_trades_percentage,profitable_volume,token_distribution_score,washtrade_index,zero_profit_trades,mint_count,mint_whales,nft_count,total_mint_volume,total_sale_volume
0xd1d411d2da363144248b98adab453aa3b19ccf04,Rug Radio Membership Pass,-602.14607084647,3851.0722370377,ethereum,1,0xd1d411d2da363144248b98adab453aa3b19ccf04,37.12138172249,4439,36.241276918407,85.751152073733,20.507761361511,694,2.6829551165578,-417889.37316745,1.148120441369,0.042079670843464,694,2.6829551165578,2672644.1325042,86.214699831681,61.417991397045,14332,1,1,20000,0,8481951.275666596
0xacfa101ece167f1894150e090d9471aee2dd3041,Feline Fiendz,-521.373636074,2275.9342749572,ethereum,1,0xacfa101ece167f1894150e090d9471aee2dd3041,49.076867130808,6154,39.914435601644,54.377470355731,43.546832852758,868,3.2691800685473,-452552.31611223,0.97293275044182,69.135398257526,868,3.2691800685473,1975510.9506628,55.521346851456,71.959467336372,7791,0,0,7332,0,8941676.881333366
0x36d02dcd463dfd71e4a07d8aa946742da94e8d3a,SympathyForTheDevils,-194.08728926339,74226142.718331,ethereum,1,0x36d02dcd463dfd71e4a07d8aa946742da94e8d3a,37.39665155312,5334,38.538678615531,15.0,26.772527586565,452,4.9818141739226,-87727.45474705,2.5305268255561,74.759071569407,452,4.9818141739226,33550216508.686,20.203396866028,58.146736310491,5150,2,1,7888,1348058.698787224,7838704.214231269
0xae3d8d68b4f6c3ee784b2b0669885a315ba77c08,RTFKT PUNK PROJECT Gen1,-20.257496169848,175.20778468458,ethereum,1,0xae3d8d68b4f6c3ee784b2b0669885a315ba77c08,28.184303865174,415,47.731312470252,68.637431480031,39.75093949643,167,41.542288557214,-3383.0018603646,0.94165727170237,0.0,167,41.542288557214,29259.700042324,63.178316422398,34.422867343104,248,47,14,490,0,7850365.068449359
0xbaeec315f9d7f8db2645edfd5633360f152279bc,Rengoku,-350.76690500091,596.84458712235,ethereum,1,0xbaeec315f9d7f8db2645edfd5633360f152279bc,43.265255313906,4345,33.560554875381,42.120640904807,27.036549012831,496,3.4545201281516,-173980.38488045,0.99805590357282,84.624357368125,496,3.4545201281516,296034.91521269,45.044282196397,60.281384196656,7542,0,0,8787,2557066.72005351,7939138.753387222
0xc5ae96ef99832e0cb8409877f47fbfed97004b79,Yung Ape Squad,-473.89191831519,15789.098098802,ethereum,1,0xc5ae96ef99832e0cb8409877f47fbfed97004b79,44.626048159813,2302,30.412599529407,60.09328358209,29.45960419092,417,3.1221922731357,-197612.92993744,1.03358556461,83.151571594878,417,3.1221922731357,6584053.9072005,60.09545983702,60.234982537835,6213,0,0,6643,955867.4900162428,7875127.30227648
0x55d89273143de3de00822c9271dbcbd9b44b44c6,Turf,-277.66355859367,1060.5245247543,ethereum,1,0x55d89273143de3de00822c9271dbcbd9b44b44c6,45.28252312479,3008,37.348525609887,43.147792706334,35.237187328637,429,5.7972972972973,-119117.66663669,0.99607710802716,84.192010798498,429,5.7972972972973,454965.0211196,46.301092504324,60.009132323786,3570,24,8,5038,903018.746059359,8908131.507035108
0x0bd4d37e0907c9f564aaa0a7528837b81b25c605,Llama Pass,-34.716274322292,1013.4657041907,ethereum,1,0x0bd4d37e0907c9f564aaa0a7528837b81b25c605,53.020454522932,2,44.566035179422,100.0,71.929970935203,560,17.214878573624,-19441.113620484,2.9203282612412,60.926107026842,560,17.214878573624,567540.7943468,99.750384681142,58.521497691913,259,0,0,5,0,7787321.670779412
0x3eacf2d8ce91b35c048c6ac6ec36341aae002fb9,GOATz,-190.20329185616,158153.94103525,ethereum,1,0x3eacf2d8ce91b35c048c6ac6ec36341aae002fb9,32.898801092357,8929,42.596808543892,21.098708487085,35.023871347837,770,4.040510048801,-146456.53472924,3.7544131445155,0.062842305090663,770,4.040510048801,121778534.59714,21.693600122193,68.664902136202,9115,70,2,10000,1158618.4541637732,7921145.937283564
0x65b28ed75c12d8ce29d892de9f8304a6d2e176a7,ChubbyKaijuDAO,-1023.945518449,3670.7766718732,ethereum,1,0x65b28ed75c12d8ce29d892de9f8304a6d2e176a7,36.975215255333,3816,29.727262378367,20.823199251637,39.751300596371,199,1.2851976233531,-203765.15817135,0.99987311254917,71.9236137546,199,1.2851976233531,730484.55770277,24.916888719706,56.366006851922,8450,0,0,9999,1107446.681401064,7973760.75875566
